postal_district_number,postal_district,postal_district_name,postal_district_label,floor_level,floor_area_band,rent_psm_25th,rent_psm_median,rent_psm_75th,reference_period,period_start,year,quarter
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",B1 & Below,30 & Below,69.89,70.2,112.7,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",B1 & Below,>30 - 100,65.45,87.61,98.41,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",B1 & Below,>100 - 300,50.33,57.7,87.2,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 1,30 & Below,87.36,123.94,222.0,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 1,>30 - 100,75.26,109.37,147.04,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 1,>100 - 300,84.43,119.72,160.18,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 2 & 3,30 & Below,82.13,100.0,119.72,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 2 & 3,>30 - 100,51.57,70.7,100.0,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 2 & 3,>100 - 300,46.28,67.49,92.07,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 2 & 3,>300,46.86,64.58,71.37,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",Level 4 & Above,>30 - 100,68.69,72.84,75.42,2021Q1,2021-01-01,2021,Q1
1,D01,"Raffles Place, Cecil, Marina, People's Park","D01 / Raffles Place, Cecil, Marina, People's Park",B1 & Below,30 & Below,77.0,193.74,317.65,2021Q2,2021-04-01,2021,Q2
