licensee_name,licence_number,premises_address,grade,demerit_points,suspension_start_date,suspension_end_date
TAY GUAN TECK,B02078A005,1 YISHUN STREET 23 #02-26 YS-ONE SINGAPORE 768441,,,,
7 STARS (YISHUN) PTE. LTD.,B02078A005,1 YISHUN STREET 23 #02-26 YS-ONE SINGAPORE 768441,B,,,
CU MR FOOD STATION PTE. LTD.,B77135P003,339 ANG MO KIO AVENUE 1 #01-1565 SINGAPORE 560339,B,,,
CHUA HONG HUAT,B77135P003,339 ANG MO KIO AVENUE 1 #01-1565 SINGAPORE 560339,,,,
ALISA MAHAL RESTAURANT PTE LTD,C01184A000,6 TUAS BAY WALK #02-08 SINGAPORE 637752,B,,,
MARIUM INTERNATIONAL (SINGAPORE) PTE. LTD.,C01184A000,6 TUAS BAY WALK #02-08 SINGAPORE 637752,,,,
SEOW YONG NOI,CE04637N006,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990,A,,,
TAY YAN GEOK,CE04637N006,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990,,,,
NO.1 EATING HOUSE LLP,CE09491X000,1 TANJONG PAGAR PLAZA #01-03 SINGAPORE 082001,A,,,
J. KEART GOURMET PTE. LTD.,CE09491X000,1 TANJONG PAGAR PLAZA #01-03 SINGAPORE 082001,,,,
MINORA CUISINE PTE. LTD.,CE09818L000,196 SYED ALWI ROAD SINGAPORE 207728,,,,
MONZI CATERING PRIVATE LIMITED,CE09818L000,196 SYED ALWI ROAD SINGAPORE 207728,B,,,
EN JAPANESE DINING BAR @ BUKIT TIMAH PTE. LTD.,CE09I25V000,383 BUKIT TIMAH ROAD #01-01 ALOCASSIA APARTMENTS SINGAPORE 259727,A,,,
AP COMPANY INTERNATIONAL SINGAPORE PTE. LTD.,CE09I25V000,383 BUKIT TIMAH ROAD #01-01 ALOCASSIA APARTMENTS SINGAPORE 259727,,,,
NEXT CAPITAL PTE. LTD.,CE12F56C005,111 NORTH BRIDGE ROAD #B1-7D&7E PENINSULA PLAZA SINGAPORE 179098,B,,,
NEXT CAPITAL PTE. LTD.,CE12F56C005,111 NORTH BRIDGE ROAD #B1-7D&7E PENINSULA PLAZA SINGAPORE 179098,,,,
NEXT CAPITAL PTE. LTD.,CE12F56C008,111 NORTH BRIDGE ROAD #B1-7D&7E PENINSULA PLAZA SINGAPORE 179098,A,,,
NEXT CAPITAL PTE. LTD.,CE12F56C008,111 NORTH BRIDGE ROAD #B1-7D&7E PENINSULA PLAZA SINGAPORE 179098,,,,
NEXT CAPITAL PTE. LTD.,CE12F56C009,111 NORTH BRIDGE ROAD #B1-7D&7E PENINSULA PLAZA SINGAPORE 179098,A,,,
NEXT CAPITAL PTE. LTD.,CE12F56C009,111 NORTH BRIDGE ROAD #B1-7D&7E PENINSULA PLAZA SINGAPORE 179098,,,,
SINGA GOURMET PTE LTD,CE13318N000,408 ANG MO KIO AVENUE 10 #01-779 SINGAPORE 560408,,,,
SINGA GOURMET LLP,CE13318N000,408 ANG MO KIO AVENUE 10 #01-779 SINGAPORE 560408,B,,,
AKASHI SHABU PTE. LTD.,CE13T93L000,3 TEMASEK BOULEVARD #02-389 SUNTEC CITY MALL SINGAPORE 038983,A,,,
AKASHI JAPANESE RESTAURANT OPH PTE. LTD.,CE13T93L000,3 TEMASEK BOULEVARD #02-389 SUNTEC CITY MALL SINGAPORE 038983,,,,
OISHI HOLDINGS PTE. LTD.,CE14Q83C000,190 LORONG 6 TOA PAYOH #01-560 (PART OF) RIGHT UNIT SINGAPORE 310190,A,,,
LOONGWEI PTE. LTD.,CE14Q83C000,190 LORONG 6 TOA PAYOH #01-560 (PART OF) RIGHT UNIT SINGAPORE 310190,,,,
ROTISSERIE EXPRESS PTE. LTD.,CE15B96K000,442 ORCHARD ROAD #02-01/17 CLAYMORE CONNECT SINGAPORE 238879,A,,,
VIP HOLDINGS INC PRIVATE LIMITED,CE15B96K000,442 ORCHARD ROAD #02-01/17 CLAYMORE CONNECT SINGAPORE 238879,,,,
PRO*3 INSTITUTIONAL CATERING PTE. LTD.,CE15D24J000,180 ISLAND CLUB ROAD ISLAND GOLF CLUB SINGAPORE 578774,A,,,
NTUC FOODFARE CO-OPERATIVE LTD,CE15D24J000,180 ISLAND CLUB ROAD ISLAND GOLF CLUB SINGAPORE 578774,,,,
POCO A POCO GROUP PTE LTD,CE15H98N000,80 MIDDLE ROAD #01-71/72 SINGAPORE 188966,A,,,
KOPI SOLUTION PTE. LTD.,CE15H98N000,80 MIDDLE ROAD #01-71/72 SINGAPORE 188966,A,,,
SAY BABA INTERNATIONAL PTE. LTD.,E73011X003,74 WHAMPOA DRIVE #01-310 WHAMPOA COURT SINGAPORE 320074,B,,,
ALPHA TRADING (UK ) PTE. LTD.,E73011X003,74 WHAMPOA DRIVE #01-310 WHAMPOA COURT SINGAPORE 320074,B,,,
LOU YANG,E76191B007,7 EUNOS CRESCENT #01-2651 SINGAPORE 400007,B,,,
LIEW SAU VOON,E76191B007,7 EUNOS CRESCENT #01-2651 SINGAPORE 400007,,,,
ALAN SEAFOOD PTE. LTD.,E79180E000,531 BEDOK NORTH STREET 3 #01-680 SINGAPORE 460531,,,,
SF INVESTMENT HOLDING PTE. LTD.,E79180E000,531 BEDOK NORTH STREET 3 #01-680 SINGAPORE 460531,,,,
NGUYEN THI CHAU,E79191V003,539 BEDOK NORTH STREET 3 #01-619 SINGAPORE 460539,,,,
ZHOU XINWEI,E79191V003,539 BEDOK NORTH STREET 3 #01-619 SINGAPORE 460539,B,,,
Lee Kim Hong,E85132V002,6 ST. GEORGE'S ROAD SINGAPORE 328025,,,,
FOO LONG SU,E85132V002,6 ST. GEORGE'S ROAD SINGAPORE 328025,B,,,
LUM TONG SHENG,E88133L002,456 MACPHERSON ROAD SINGAPORE 368174,,,,
DANIEL DOUGLAS WINDSOR,E88133L002,456 MACPHERSON ROAD SINGAPORE 368174,B,,,
FU CHAN F&B PTE. LTD.,NE09315L004,301 PUNGGOL CENTRAL #01-06 MULTI STOREY CAR PARK SINGAPORE 820301,,,,
CHU PEK SI,NE09315L004,301 PUNGGOL CENTRAL #01-06 MULTI STOREY CAR PARK SINGAPORE 820301,,,,
NG MEI YEE,NE10440A008,36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814,,,,
CELINE D/O RAYAPAN,NE10440A008,36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814,A,,,
A BREAD PTE. LTD.,NW08274N000,301 YISHUN AVENUE 2 (PART A) #01-01 YISHUN MRT STATION SINGAPORE 769093,,,,
JTT 4 PTE. LTD.,NW08274N000,301 YISHUN AVENUE 2 (PART A) #01-01 YISHUN MRT STATION SINGAPORE 769093,,,,
LL2 PTE. LTD.,NW14157A003,70 WOODLANDS AVENUE 7 (PART F) #01-02 ADMIRALTY MRT STATION SINGAPORE 738344,,,,
BTMP PTE. LTD.,NW14157A003,70 WOODLANDS AVENUE 7 (PART F) #01-02 ADMIRALTY MRT STATION SINGAPORE 738344,B,,,
A BREAD PTE. LTD.,NW14396X000,301 YISHUN AVENUE 2 (PART B) #01-01 YISHUN MRT STATION SINGAPORE 769093,,,,
SK EN EN PTE. LTD.,NW14396X000,301 YISHUN AVENUE 2 (PART B) #01-01 YISHUN MRT STATION SINGAPORE 769093,B,4.0,,
BADALING HOLDINGS PTE. LTD.,NW15053E002,547 SEGAR ROAD #01-01 MULTI STOREY CAR PARK SINGAPORE 670547,,,,
