Region,Population,Planning_Area,Postal_District,Postal_District_Name,Level
Ang Mo Kio - Total,162280,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",planning_area
Ang Mo Kio Town Centre,4810,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Cheng San,28070,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Chong Boon,26500,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Kebun Bahru,22620,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Sembawang Hills,6850,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Shangri-La,15960,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Tagore,7950,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Townsville,21140,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Yio Chu Kang,20,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Yio Chu Kang East,4200,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Yio Chu Kang North,0,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Yio Chu Kang West,24150,Ang Mo Kio,D20,"Bishan, Ang Mo Kio",subzone
Bedok - Total,276990,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",planning_area
Bayshore,7450,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Bedok North,81840,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Bedok Reservoir,25470,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Bedok South,46690,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Frankel,34490,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Kaki Bukit,37150,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Kembangan,37460,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Siglap,6440,Bedok,D16,"Bedok, Upper East Coast, Eastwood, Kew Drive",subzone
Bishan - Total,87320,Bishan,D20,"Bishan, Ang Mo Kio",planning_area
Bishan East,28310,Bishan,D20,"Bishan, Ang Mo Kio",subzone
Marymount,29620,Bishan,D20,"Bishan, Ang Mo Kio",subzone
Upper Thomson,29390,Bishan,D20,"Bishan, Ang Mo Kio",subzone
Boon Lay - Total,40,Boon Lay,D22,Jurong,planning_area
Liu Fang,10,Boon Lay,D22,Jurong,subzone
Samulun,10,Boon Lay,D22,Jurong,subzone
Shipyard,0,Boon Lay,D22,Jurong,subzone
Tukang,10,Boon Lay,D22,Jurong,subzone
Bukit Batok - Total,158030,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",planning_area
Brickworks,19820,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Bukit Batok Central,27290,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Bukit Batok East,12690,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Bukit Batok South,14930,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Bukit Batok West,15000,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Gombak,9930,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Guilin,12940,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Hillview,19300,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Hong Kah North,26150,Bukit Batok,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Bukit Merah - Total,151250,Bukit Merah,D04,"Telok Blangah, Harbourfront",planning_area
Alexandra Hill,13490,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Alexandra North,2620,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Bukit Ho Swee,14390,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Bukit Merah,1110,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
City Terminals,20,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Depot Road,6540,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Everton Park,7810,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Henderson Hill,13320,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Kampong Tiong Bahru,9010,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Maritime Square,3620,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Redhill,10620,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Singapore General Hospital,10,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Telok Blangah Drive,19320,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Telok Blangah Rise,12150,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Telok Blangah Way,9230,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Tiong Bahru,12890,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Tiong Bahru Station,15120,Bukit Merah,D04,"Telok Blangah, Harbourfront",subzone
Bukit Panjang - Total,138270,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",planning_area
Bangkit,22270,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Dairy Farm,6940,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Fajar,27820,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Jelebu,31310,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Nature Reserve,3850,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Saujana,25920,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Senja,20170,Bukit Panjang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Bukit Timah - Total,77860,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",planning_area
Anak Bukit,21870,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Coronation Road,6690,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Farrer Court,6180,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Hillcrest,9470,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Holland Road,10840,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Leedon Park,6440,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Swiss Club,5340,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Ulu Pandan,11020,Bukit Timah,D21,"Upper Bukit Timah, Clementi Park, Ulu Pandan",subzone
Central Water Catchment - Total,0,Central Water Catchment,D26,"Upper Thomson, Springleaf",planning_area
Central Water Catchment,0,Central Water Catchment,D26,"Upper Thomson, Springleaf",subzone
Changi- Total,1850,Changi,D17,"Loyang, Changi",planning_area
Changi Airport,10,Changi,D17,"Loyang, Changi",subzone
Changi Point,540,Changi,D17,"Loyang, Changi",subzone
Changi West,1300,Changi,D17,"Loyang, Changi",subzone
Changi Bay - Total,0,Changi Bay,D17,"Loyang, Changi",planning_area
Changi Bay,0,Changi Bay,D17,"Loyang, Changi",subzone
Choa Chu Kang - Total,192070,Choa Chu Kang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",planning_area
Choa Chu Kang Central,22530,Choa Chu Kang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Choa Chu Kang North,31930,Choa Chu Kang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Keat Hong,38180,Choa Chu Kang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Peng Siang,34720,Choa Chu Kang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Teck Whye,24320,Choa Chu Kang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Yew Tee,40390,Choa Chu Kang,D23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",subzone
Clementi - Total,91990,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",planning_area
Clementi Central,14000,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Clementi North,28810,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Clementi West,15260,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Clementi Woods,16000,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Faber,5360,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Pandan,20,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Sunset Way,5650,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Toh Tuck,20,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
West Coast,6870,Clementi,D05,"Pasir Panjang, Hong Leong Garden, Clementi New Town",subzone
Downtown Core - Total,3190,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",planning_area
Anson,80,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Bayfront Subzone,0,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Bugis,890,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Cecil,260,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Central Subzone,880,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
City Hall,80,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Clifford Pier,0,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Marina Centre,10,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Maxwell,0,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Nicoll,290,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Phillip,10,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Raffles Place,40,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Tanjong Pagar,670,Downtown Core,D01,"Raffles Place, Cecil, Marina, People's Park",subzone
Geylang - Total,110110,Geylang,D14,"Geylang, Eunos",planning_area
Aljunied,39990,Geylang,D14,"Geylang, Eunos",subzone
Geylang East,29920,Geylang,D14,"Geylang, Eunos",subzone
Kallang Way,30,Geylang,D14,"Geylang, Eunos",subzone
