premises_address,postal_code
#FC97E-191A OFF Pulau Ubin Coastal Area,
(CONSTRUCTION SITE 5TH LEVEL),
1 ORCHID CLUB ROAD2ND STOREY SOCIAL CLUB HOUSE BLKORCHID COUNTRY CLUB,
101 MOUNT FABER PARK KIOSK FABER POINT,
10A DENHAM ROAD,297634
122 124 & 126 ARAB STREET,
130/132/134 TANJONG PAGAR ROAD,
2 STAMFORD ROADLEVEL 68 & 69EQUINOX RESTAURANT,
201 YISHUN AVENUE 2#01-03 (PARTIAL)KHATIB MRT STATION,769092
242 GEYLANG RD (GRD FLR)242/244 GEYLANG RD (2ND STRY),
269/271 & 269A/271A BEACH RD(1ST & 2ND STOREY),
28 ANG MO KIO IND PARK 2 S T MICROELECTRONICS P LTD,
31 33 35 & 37 BUKIT PASOH ROAD,
37/39/41/43 SULTAN GATE,
391 ORCHARD ROAD #04-20A/21TAKASHIMAYA SHOPPING CENTRE NGEE ANN CITY,
5 STEVENS ROADTANGLIN CLUB,
580 QUEENSWAY RIDOUT PARK,
6 RAFFLES BLVD 4TH STOREY MARINA MANDARIN,
79/79B/81/81BPAGODA STREET,
98 CLUB STREET /3 ANN SIANG HILL,
ADAM ROAD FOOD CENTRE Stall No 01-01,
ADAM ROAD FOOD CENTRE Stall No 01-02,
ADAM ROAD FOOD CENTRE Stall No 01-03,
ADAM ROAD FOOD CENTRE Stall No 01-04,
ADAM ROAD FOOD CENTRE Stall No 01-05,
ADAM ROAD FOOD CENTRE Stall No 01-06,
ADAM ROAD FOOD CENTRE Stall No 01-07,
ADAM ROAD FOOD CENTRE Stall No 01-08,
ADAM ROAD FOOD CENTRE Stall No 01-09,
ADAM ROAD FOOD CENTRE Stall No 01-10,
ADAM ROAD FOOD CENTRE Stall No 01-11,
ADAM ROAD FOOD CENTRE Stall No 01-12,
ADAM ROAD FOOD CENTRE Stall No 01-13,
ADAM ROAD FOOD CENTRE Stall No 01-14,
ADAM ROAD FOOD CENTRE Stall No 01-15,
ADAM ROAD FOOD CENTRE Stall No 01-16,
ADAM ROAD FOOD CENTRE Stall No 01-17,
ADAM ROAD FOOD CENTRE Stall No 01-18,
ADAM ROAD FOOD CENTRE Stall No 01-19,
ADAM ROAD FOOD CENTRE Stall No 01-20,
ADAM ROAD FOOD CENTRE Stall No 01-21,
ADAM ROAD FOOD CENTRE Stall No 01-22,
ADAM ROAD FOOD CENTRE Stall No 01-23,
ADAM ROAD FOOD CENTRE Stall No 01-24,
ADAM ROAD FOOD CENTRE Stall No 01-25,
ADAM ROAD FOOD CENTRE Stall No 01-26,
ADAM ROAD FOOD CENTRE Stall No 01-27,
ADAM ROAD FOOD CENTRE Stall No 01-28,
ADAM ROAD FOOD CENTRE Stall No 01-29,
ADAM ROAD FOOD CENTRE Stall No 01-30,
ADAM ROAD FOOD CENTRE Stall No 01-31,
ADAM ROAD FOOD CENTRE Stall No 01-32,
ALJUNIED AVE 2 BLK 117 Stall No 01-01,
ALJUNIED AVE 2 BLK 117 Stall No 01-02,
ALJUNIED AVE 2 BLK 117 Stall No 01-03,
ALJUNIED AVE 2 BLK 117 Stall No 01-04,
ALJUNIED AVE 2 BLK 117 Stall No 01-05,
ALJUNIED AVE 2 BLK 117 Stall No 01-06,
ALJUNIED AVE 2 BLK 117 Stall No 01-08,
ALJUNIED AVE 2 BLK 117 Stall No 01-09,
ALJUNIED AVE 2 BLK 117 Stall No 01-10,
ALJUNIED AVE 2 BLK 117 Stall No 01-11,
ALJUNIED AVE 2 BLK 117 Stall No 01-12,
ALJUNIED AVE 2 BLK 117 Stall No 01-13,
ALJUNIED AVE 2 BLK 117 Stall No 01-14,
ALJUNIED AVE 2 BLK 117 Stall No 01-15,
ALJUNIED AVE 2 BLK 117 Stall No 01-16,
ALJUNIED AVE 2 BLK 117 Stall No 01-17,
ALJUNIED AVE 2 BLK 117 Stall No 01-18,
