premises_address,postal_code,postal_district,geojson_district
392 HAVELOCK ROAD (FISH/MEAT) GRAND COPTHORNE WATERFRONT HOTEL (BASEMENT 1) SINGAPORE 169663,169663,D03,D01
392 HAVELOCK ROAD (BANQUET KITCHEN) GRAND COPTHORNE WATERFRONT HOTEL (LEVEL 2) SINGAPORE 169663,169663,D03,D01
37 NORRIS ROAD SINGAPORE 208279,208279,D08,D07
10 COLEMAN STREET (2ND STOREY) GRAND PARK CITY HALL SINGAPORE 179809,179809,D06,D01
80 MIDDLE ROAD HOTEL INTER-CONTINENTAL BASEMENT 1 (MAIN KITCHEN) SINGAPORE 188966,188966,D07,D01
165 TANJONG PAGAR ROAD #03-00 AMARA HOTEL SINGAPORE 088539,088539,D02,D01
2 STAMFORD ROAD WESTIN PLAZA AND STAMFORD RAFFLES KITCHEN LEVEL 4 SINGAPORE 178882,178882,D06,D01
2 STAMFORD ROAD WESTIN PLAZA AND STAMFORD RC HOTEL LEVEL 4 SINGAPORE 178882,178882,D06,D01
2 STAMFORD ROAD RAFFLES THE PLAZA - (PLAZA MEETING ROOM) SINGAPORE 178882,178882,D06,D01
1/3 BEACH ROAD #B1-00 RAFFLES HOTEL SINGAPORE 189673,189673,D07,D01
60 SENG POH LANE #01-07 SINGAPORE 160060,160060,D03,D04
392 HAVELOCK ROAD (LEVEL 2) GRAND COPTHORNE WATERFRONT HOTEL SINGAPORE 169663,169663,D03,D01
67 SENG POH LANE #01-16 SINGAPORE 160067,160067,D03,D04
5 BURN ROAD #05-01 TEE YIH JIA FOOD BUILDING SINGAPORE 369972,369972,D13,D12
3017 BEDOK NORTH STREET 5 #02-01 GOURMET EAST KITCHEN SINGAPORE 486121,486121,D16,D18
3015 BEDOK NORTH STREET 5 #06-16\17 SHIMEI EAST KITCHEN SINGAPORE 486350,486350,D16,D18
3015 BEDOK NORTH STREET 5 #01-01 SHIMEI EAST KITCHEN SINGAPORE 486350,486350,D16,D18
1 STADIUM DRIVE CENTRAL PRODUCTION UNIT SINGAPORE 397629,397629,D14,D08
5 HARRISON ROAD #03-02 YAN XIAN BUILDING SINGAPORE 369645,369645,D13,D12
5 BURN ROAD #03-01 TEE YIH JIA FOOD BUILDING SINGAPORE 369972,369972,D13,D12
171 KAMPONG AMPAT #05-07 KA FOODLINK SINGAPORE 368330,368330,D13,D12
171 KAMPONG AMPAT #04-11 KA FOODLINK SINGAPORE 368330,368330,D13,D12
3015 BEDOK NORTH STREET 5 #05-27 SHIMEI EAST KITCHEN SINGAPORE 486350,486350,D16,D18
171 KAMPONG AMPAT #02-02 KA FOODLINK SINGAPORE 368330,368330,D13,D12
3015 BEDOK NORTH STREET 5 #02-03 SHIMEI EAST KITCHEN SINGAPORE 486350,486350,D16,D18
171 KAMPONG AMPAT #06-10 KA FOODLINK SINGAPORE 368330,368330,D13,D12
3017 BEDOK NORTH STREET 5 #06-21 GOURMET EAST KITCHEN SINGAPORE 486121,486121,D16,D18
1 EXPO DRIVE #02-05 MAX ATRIA @ SINGAPORE EXPO SINGAPORE 486150,486150,D16,D18
3017 BEDOK NORTH STREET 5 #01-02 GOURMET EAST KITCHEN SINGAPORE 486121,486121,D16,D18
3017 BEDOK NORTH STREET 5 #01-12 GOURMET EAST KITCHEN SINGAPORE 486121,486121,D16,D18
3015 BEDOK NORTH STREET 5 #06-23 SHIMEI EAST KITCHEN SINGAPORE 486350,486350,D16,D18
3017 BEDOK NORTH STREET 5 #03-28 GOURMET EAST KITCHEN SINGAPORE 486121,486121,D16,D18
