district,time,leave,enter,traffic
D01,0,4325,484,-3841
D01,5,4707,39868,35161
D01,6,30525,125972,95447
D01,7,51643,317133,265490
D01,8,71401,563664,492263
D01,9,71303,368344,297041
D01,10,87717,269791,182074
D01,11,154182,283169,128987
D01,12,207965,292426,84461
D01,13,236196,295892,59696
D01,14,220176,227380,7204
D01,15,247252,208744,-38508
D01,16,278526,221221,-57305
D01,17,439901,268061,-171840
D01,18,621795,290171,-331624
D01,19,415998,184799,-231199
D01,20,380963,119561,-261402
D01,21,327828,84905,-242923
D01,22,229401,51673,-177728
D01,23,119577,19130,-100447
D02,0,724,56,-668
D02,5,1265,19698,18433
D02,6,7918,65212,57294
D02,7,17011,201079,184068
D02,8,28966,359617,330651
D02,9,28109,196971,168862
D02,10,32711,98553,65842
D02,11,55166,90980,35814
D02,12,74063,86979,12916
D02,13,78599,81840,3241
D02,14,75435,56920,-18515
D02,15,75298,47343,-27955
D02,16,95998,52397,-43601
D02,17,209092,81535,-127557
D02,18,342537,95830,-246707
D02,19,175817,46542,-129275
D02,20,113636,28043,-85593
D02,21,94493,22071,-72422
D02,22,65869,12675,-53194
D02,23,27922,4263,-23659
D03,0,460,284,-176
D03,5,16422,42368,25946
D03,6,113659,167063,53404
D03,7,219608,339012,119404
D03,8,286431,272758,-13673
D03,9,209226,166854,-42372
D03,10,156333,124803,-31530
D03,11,167689,135351,-32338
D03,12,184409,157710,-26699
D03,13,164592,173183,8591
D03,14,146745,151073,4328
D03,15,156109,147679,-8430
D03,16,193176,169084,-24092
D03,17,329613,249273,-80340
D03,18,373098,303006,-70092
D03,19,196202,205133,8931
D03,20,128518,158044,29526
D03,21,116695,149585,32890
D03,22,70885,97665,26780
D03,23,26615,34803,8188
D04,0,94,13,-81
D04,5,3132,21158,18026
D04,6,17272,76225,58953
D04,7,35222,162150,126928
D04,8,54682,197983,143301
D04,9,37367,146151,108784
D04,10,34172,115556,81384
D04,11,44538,116218,71680
D04,12,61437,116078,54641
D04,13,81297,103551,22254
D04,14,78621,90388,11767
D04,15,91990,87492,-4498
D04,16,118250,90076,-28174
D04,17,192012,114108,-77904
D04,18,251552,119820,-131732
D04,19,174144,65743,-108401
D04,20,152788,42028,-110760
D04,21,145503,30892,-114611
D04,22,102790,17881,-84909
D04,23,32482,4376,-28106
D05,0,1107,317,-790
D05,5,12642,65877,53235
D05,6,91879,248348,156469
D05,7,191393,485124,293731
D05,8,211943,495738,283795
D05,9,146825,277318,130493
D05,10,128932,151568,22636
